0;973
0;1016
0;2011
0;153
0;1190
1;760
1;1953
1;1306
1;379
1;1981
2;1588
2;320
2;631
2;1523
2;1142
3;52
3;1605
3;427
3;1188
3;46
4;2043
4;437
4;739
4;1502
4;1626
5;1931
5;586
5;1451
5;308
5;1329
6;1908
6;693
6;1038
6;1121
6;839
7;1679
7;424
7;1002
7;1391
7;1007
8;1784
8;2061
8;1220
8;1763
8;389
9;830
9;372
9;546
9;476
9;1601
10;1766
10;678
10;823
10;273
10;460
11;318
11;909
11;1630
11;619
11;261
12;1127
12;75
12;1695
12;354
12;1345
13;545
13;1057
13;1808
13;2100
13;872
14;1514
14;894
14;465
14;777
14;1486
15;2167
15;447
15;1691
15;472
15;1059
16;976
16;712
16;2140
16;356
16;298
17;1395
17;677
17;1913
17;1580
17;1414
18;1331
18;738
18;1077
18;1631
18;30
19;1065
19;1385
19;1698
19;902
19;755
20;755
20;653
20;901
20;1413
20;312
21;290
21;2053
21;1732
21;498
21;1579
22;1373
22;1951
22;1164
22;232
22;1782
23;200
23;403
23;1948
23;363
23;1671
24;1673
24;306
24;670
24;334
24;1596
25;228
25;1872
25;1194
25;1844
25;1047
26;935
26;1634
26;2158
26;964
26;1525
27;1958
27;1495
27;361
27;2136
27;1675
28;1563
28;1972
28;226
28;824
28;932
29;422
29;245
29;1935
29;596
29;431
30;1965
30;1331
30;1804
30;738
31;1923
31;1650
31;1546
31;1309
31;1850
32;1018
32;1900
32;881
32;567
32;260
33;1712
33;1937
33;1590
33;1364
33;1992
34;1790
34;1469
34;478
34;1875
34;1684
35;2155
35;1116
35;798
35;2054
35;704
36;716
36;1532
36;204
36;1769
36;1851
37;1936
37;1824
37;1658
37;520
37;55
38;933
38;861
38;1071
38;2013
38;1223
39;2005
39;1287
39;268
39;125
39;1862
40;220
40;1576
40;1696
40;1761
40;1558
41;1829
41;314
41;114
41;1600
41;2104
42;990
42;1435
42;613
42;2178
42;1585
43;1005
43;628
43;1030
43;1307
43;1668
44;2179
44;1088
44;1328
44;699
44;367
45;1538
45;1956
45;742
45;1948
45;434
46;2128
46;1188
46;52
46;1632
47;831
47;50
47;2040
47;433
47;485
48;1078
48;1768
48;1349
48;719
48;1248
49;1859
49;463
49;1417
49;1119
49;925
50;514
50;485
50;831
50;806
51;1423
51;1292
51;1842
51;150
51;856
52;1605
52;1188
52;427
53;1767
53;729
53;113
53;1264
53;421
54;1590
54;514
54;33
54;1937
54;806
55;900
55;1936
55;221
55;781
55;793
56;1678
56;1264
56;1565
56;590
56;812
57;436
57;1295
57;441
57;415
57;442
58;323
58;1846
58;663
58;497
58;1984
59;517
59;1399
59;91
59;70
59;1406
60;88
60;1845
60;1868
60;1428
60;196
61;328
61;265
61;591
61;1815
61;1914
62;771
62;1312
62;346
62;395
62;1509
63;1949
63;746
63;1353
63;1734
63;1754
64;791
64;1713
64;889
64;594
64;1842
65;1912
65;1387
65;1301
65;1789
65;95
66;1072
66;180
66;442
66;1230
66;1575
67;1167
67;1440
67;1607
67;1394
67;1135
68;1191
68;336
68;787
68;2071
68;534
69;2093
69;1039
69;1762
69;1036
69;443
70;517
70;1399
70;301
70;91
71;1437
71;1157
71;942
71;1380
71;508
72;1584
72;1179
72;120
72;342
72;692
73;1159
73;1166
73;673
73;698
73;531
74;1830
74;744
74;471
74;891
74;624
75;1127
75;1762
75;443
75;634
76;1720
76;621
76;1212
76;1927
76;1519
77;1320
77;818
77;1971
77;251
77;813
78;1377
78;1375
78;528
78;291
78;1351
79;1338
79;675
79;1160
79;376
79;981
80;1262
80;1069
80;1900
80;260
